事前健全度　事後健全度　点検間隔　グループ　説明変数（x2,x3）
4	4	1.19178	578	0.2597	0.01404
3	3	1.9863	1433	0.16062	0.00742
4	4	1.48493	204	0.42697	0.01364
4	4	1.13699	138	0.37163	0.01086
4	4	1.13699	733	0.09262	0.07102
3	3	1.99178	826	0.00331	0.0036
3	3	2.15616	392	0.29354	0.06668
4	4	1.89863	1352	0.01925	0.0056
1	1	1.16986	81	0.25301	0.00599
4	4	0.94247	718	0.00184	0.00357
4	4	1.12055	660	0.44145	0.01888
1	2	1.95068	380	0.72761	0.00545
5	6	1.37808	757	0.05809	0.02041
3	3	1.98356	169	0.01603	0.01872
4	4	0.9726	579	0.02982	0.00813
4	4	0.87123	915	0.03711	0.00395
4	4	2.13151	90	0.05418	0.008
3	3	1.72877	5	0.00036	0.01262
5	5	0.86849	732	0.13649	0.08134
4	4	1.99726	492	0.01213	0.00437
4	4	0.92055	578	0.2597	0.01404
3	3	2.10959	970	0.0327	0.00519
3	4	2.5726	1321	0.49253	0.00199
2	2	2.12877	1464	0.61423	0.00206
4	4	2.0137	1199	0.17903	0.00597
3	3	2.09041	1290	0.02672	0.00199
3	3	1.95342	538	0.3198	0.01176
1	1	2.17534	1296	0.41242	0.00352
3	3	1.87945	538	0.3198	0.01176
4	5	1.09589	221	0.64405	0.29577
3	3	1.21096	494	0.17222	0.14152
3	3	1.74521	469	0.18353	0.00517
4	4	0.83288	715	0.43583	0.00814
4	4	2.07397	419	0.00937	0.00305
3	3	2.03562	712	0.16681	0.01218
4	4	0.76712	491	0.10344	0.0049
3	3	1.06301	72	0.29098	0.01368
5	5	1.26027	721	0.4899	0.0031
1	2	1.98356	1404	0.57829	0.00226
2	3	1.84384	238	0.14675	0.01024
2	2	1.89863	758	0.07638	0.05726
4	4	2.09041	1440	0.4371	0.01161
3	3	1.99726	725	0.48787	0.34171
2	2	2.12877	1464	0.61423	0.00206
3	3	2.26301	1392	0.05512	0.00589
3	3	1.63288	156	0.03417	0.0085
3	3	1.66575	1472	0.03123	0.00708
5	5	0.80548	1373	0.30606	0.00407
4	4	2.43562	215	0.38196	0.00935
3	3	1.90137	1395	0.11023	0.00336
4	4	1.98356	388	0.20145	0.00916
3	3	2.06575	329	0.02105	0.00712
4	4	2.49041	121	0.30918	0.01103
3	3	2.39452	1019	0.04425	0.01161
3	3	1.94795	1450	0.13525	0.0033
4	4	0.99178	494	0.17222	0.14152
2	2	1.90685	547	0.20577	0.00482
3	3	1.89041	1427	0.03491	0.00233
3	3	1.12603	204	0.42697	0.01364
3	3	0.77808	1462	1	0.00279
3	3	2.60822	1440	0.4371	0.01161
4	4	1.19178	578	0.2597	0.01404
3	4	0.94247	723	0.00184	0.01483
1	2	1.80274	515	0.03837	0.09651
3	4	2.0137	344	0.00551	0.02218
3	4	2.13973	531	0.24823	0.00331
4	4	0.64932	529	0.27291	0.00987
4	4	1.19178	578	0.2597	0.01404
4	4	1.3726	121	0.30918	0.01103
3	3	2.0137	247	0.04648	0.01175
3	3	1.89863	1476	0.32556	0.0096
5	5	0.93425	768	0.01102	0.13227
1	2	1.89589	560	0.0291	0.00712
3	3	2.00274	215	0.38196	0.00935
4	4	1.34521	6	0.43319	0.0116
3	3	2.06849	152	0	0.00997
5	5	1.09589	909	0.05146	0.00617
4	4	1.93425	613	0.03674	0.00855
3	3	1.74521	206	0.06633	0.01085
4	4	1.84384	1037	0.00349	0.00407
3	3	0.99452	204	0.42697	0.01364
3	3	1.06301	72	0.29098	0.01368
4	4	1.30685	760	0.10765	0.41871
3	4	1.86849	1231	0.01102	0.00152
3	3	1.65205	76	0.10213	0.01516
1	1	2.03836	1408	0.57829	0.00308
3	3	1.93151	1335	0.09921	0.00196
4	4	1.94521	1334	0.25721	0.00635
4	4	0.77808	715	0.43583	0.00814
3	3	2.0137	208	0.47054	0.00556
3	4	1.99726	137	0.32987	0.01202
3	3	1.93699	257	0.046	0.00631
6	6	0.73151	721	0.4899	0.0031
3	4	0.96438	864	0.02175	0.0031
4	4	1.71781	1314	0.38444	0.00332
3	3	1.94247	826	0.00331	0.0036
3	3	0.90137	72	0.29098	0.01368
4	4	0.7863	1411	0.07716	0.00205
3	3	0.98082	741	0.08856	0.00743
5	5	0.56712	121	0.30918	0.01103
3	3	1.87671	1185	0.49897	0.35798
3	3	1.92055	1168	0.19879	0.00053
2	4	1.9589	399	0.32987	0.11844
3	3	2.15616	392	0.29354	0.06668
